State,Transitions,Percentage Transitions
2,3,0.011764705882352941
5,2,0.00784313725490196
6,1,0.00392156862745098
7,1,0.00392156862745098
8,253,0.9921568627450981
9,253,0.9921568627450981
10,1,0.00392156862745098
11,1,0.00392156862745098
12,253,0.9921568627450981
13,253,0.9921568627450981
14,253,0.9921568627450981
15,253,0.9921568627450981
16,253,0.9921568627450981
17,1,0.00392156862745098
18,1,0.00392156862745098
19,253,0.9921568627450981
20,253,0.9921568627450981
21,253,0.9921568627450981
22,253,0.9921568627450981
23,1,0.00392156862745098
24,1,0.00392156862745098
25,253,0.9921568627450981
26,253,0.9921568627450981
27,253,0.9921568627450981
29,1,0.00392156862745098
30,253,0.9921568627450981
31,253,0.9921568627450981
32,253,0.9921568627450981
34,1,0.00392156862745098
35,1,0.00392156862745098
36,1,0.00392156862745098
37,1,0.00392156862745098
38,253,0.9921568627450981
39,253,0.9921568627450981
40,253,0.9921568627450981
41,253,0.9921568627450981
