State,Transitions,Percentage Transitions
2,4,0.01568627450980392
5,253,0.9921568627450981
7,1,0.00392156862745098
8,1,0.00392156862745098
9,2,0.00784313725490196
10,1,0.00392156862745098
11,253,0.9921568627450981
12,1,0.00392156862745098
13,1,0.00392156862745098
14,1,0.00392156862745098
15,253,0.9921568627450981
16,253,0.9921568627450981
17,1,0.00392156862745098
18,1,0.00392156862745098
19,253,0.9921568627450981
20,253,0.9921568627450981
21,1,0.00392156862745098
22,1,0.00392156862745098
25,1,0.00392156862745098
28,1,0.00392156862745098
29,1,0.00392156862745098
30,1,0.00392156862745098
31,1,0.00392156862745098
32,1,0.00392156862745098
