State,Transitions,Percentage Transitions
2,4,0.01568627450980392
5,1,0.00392156862745098
6,2,0.00784313725490196
7,1,0.00392156862745098
8,1,0.00392156862745098
11,1,0.00392156862745098
12,1,0.00392156862745098
14,1,0.00392156862745098
15,1,0.00392156862745098
16,1,0.00392156862745098
17,1,0.00392156862745098
18,1,0.00392156862745098
19,1,0.00392156862745098
20,1,0.00392156862745098
21,1,0.00392156862745098
22,1,0.00392156862745098
23,1,0.00392156862745098
24,1,0.00392156862745098
25,1,0.00392156862745098
