State,Transitions,Percentage Transitions
2,19,0.07450980392156863
5,19,0.07450980392156863
6,99,0.38823529411764707
7,19,0.07450980392156863
8,99,0.38823529411764707
9,99,0.38823529411764707
10,99,0.38823529411764707
11,99,0.38823529411764707
12,99,0.38823529411764707
13,99,0.38823529411764707
14,99,0.38823529411764707
15,99,0.38823529411764707
16,254,0.996078431372549
17,253,0.9921568627450981
18,254,0.996078431372549
19,254,0.996078431372549
20,254,0.996078431372549
21,254,0.996078431372549
22,1,0.00392156862745098
23,1,0.00392156862745098
24,99,0.38823529411764707
25,99,0.38823529411764707
26,99,0.38823529411764707
27,99,0.38823529411764707
28,99,0.38823529411764707
29,99,0.38823529411764707
32,99,0.38823529411764707
33,99,0.38823529411764707
