State,Transitions,Percentage Transitions
2,253,0.9921568627450981
5,253,0.9921568627450981
6,253,0.9921568627450981
7,253,0.9921568627450981
8,253,0.9921568627450981
9,253,0.9921568627450981
10,253,0.9921568627450981
11,253,0.9921568627450981
12,253,0.9921568627450981
13,253,0.9921568627450981
14,253,0.9921568627450981
15,253,0.9921568627450981
16,253,0.9921568627450981
17,253,0.9921568627450981
18,253,0.9921568627450981
19,253,0.9921568627450981
20,253,0.9921568627450981
21,253,0.9921568627450981
22,253,0.9921568627450981
23,253,0.9921568627450981
24,1,0.00392156862745098
25,1,0.00392156862745098
26,1,0.00392156862745098
27,1,0.00392156862745098
28,1,0.00392156862745098
29,1,0.00392156862745098
30,1,0.00392156862745098
31,1,0.00392156862745098
32,1,0.00392156862745098
33,1,0.00392156862745098
