State,Transitions,Percentage Transitions
2,2,0.00784313725490196
5,1,0.00392156862745098
6,1,0.00392156862745098
7,1,0.00392156862745098
8,1,0.00392156862745098
9,1,0.00392156862745098
10,1,0.00392156862745098
11,99,0.38823529411764707
12,99,0.38823529411764707
13,99,0.38823529411764707
14,99,0.38823529411764707
15,99,0.38823529411764707
16,106,0.41568627450980394
17,99,0.38823529411764707
18,106,0.41568627450980394
19,106,0.41568627450980394
20,106,0.41568627450980394
21,106,0.41568627450980394
22,99,0.38823529411764707
23,106,0.41568627450980394
24,106,0.41568627450980394
25,99,0.38823529411764707
26,106,0.41568627450980394
27,106,0.41568627450980394
28,99,0.38823529411764707
29,99,0.38823529411764707
30,99,0.38823529411764707
31,106,0.41568627450980394
32,106,0.41568627450980394
33,99,0.38823529411764707
34,106,0.41568627450980394
35,106,0.41568627450980394
36,106,0.41568627450980394
37,106,0.41568627450980394
38,106,0.41568627450980394
39,99,0.38823529411764707
40,106,0.41568627450980394
41,106,0.41568627450980394
42,106,0.41568627450980394
43,106,0.41568627450980394
44,106,0.41568627450980394
45,99,0.38823529411764707
46,106,0.41568627450980394
47,106,0.41568627450980394
48,106,0.41568627450980394
49,106,0.41568627450980394
50,106,0.41568627450980394
51,106,0.41568627450980394
