State,Transitions,Percentage Transitions
2,5,0.0196078431372549
5,94,0.3686274509803922
6,94,0.3686274509803922
7,94,0.3686274509803922
8,94,0.3686274509803922
9,95,0.37254901960784315
10,95,0.37254901960784315
11,99,0.38823529411764707
12,99,0.38823529411764707
14,253,0.9921568627450981
15,31,0.12156862745098039
16,31,0.12156862745098039
18,3,0.011764705882352941
19,99,0.38823529411764707
20,99,0.38823529411764707
21,99,0.38823529411764707
22,104,0.40784313725490196
23,99,0.38823529411764707
24,99,0.38823529411764707
25,14,0.054901960784313725
26,99,0.38823529411764707
27,99,0.38823529411764707
28,104,0.40784313725490196
29,104,0.40784313725490196
30,99,0.38823529411764707
31,254,0.996078431372549
32,99,0.38823529411764707
33,104,0.40784313725490196
34,254,0.996078431372549
35,254,0.996078431372549
36,99,0.38823529411764707
37,254,0.996078431372549
38,99,0.38823529411764707
39,254,0.996078431372549
40,254,0.996078431372549
41,254,0.996078431372549
42,254,0.996078431372549
43,254,0.996078431372549
