State,Transitions,Percentage Transitions
2,6,0.023529411764705882
5,1,0.00392156862745098
6,1,0.00392156862745098
7,1,0.00392156862745098
8,1,0.00392156862745098
9,1,0.00392156862745098
10,1,0.00392156862745098
11,1,0.00392156862745098
12,1,0.00392156862745098
13,1,0.00392156862745098
14,1,0.00392156862745098
15,1,0.00392156862745098
16,1,0.00392156862745098
17,1,0.00392156862745098
18,1,0.00392156862745098
19,1,0.00392156862745098
20,1,0.00392156862745098
21,1,0.00392156862745098
22,1,0.00392156862745098
23,1,0.00392156862745098
24,1,0.00392156862745098
25,1,0.00392156862745098
26,1,0.00392156862745098
27,1,0.00392156862745098
28,1,0.00392156862745098
31,1,0.00392156862745098
33,1,0.00392156862745098
34,1,0.00392156862745098
37,1,0.00392156862745098
38,1,0.00392156862745098
40,1,0.00392156862745098
