State,Transitions,Percentage Transitions
2,253,0.9921568627450981
5,1,0.00392156862745098
6,253,0.9921568627450981
7,253,0.9921568627450981
8,253,0.9921568627450981
9,253,0.9921568627450981
10,94,0.3686274509803922
11,94,0.3686274509803922
14,95,0.37254901960784315
15,1,0.00392156862745098
16,253,0.9921568627450981
17,253,0.9921568627450981
18,253,0.9921568627450981
19,253,0.9921568627450981
20,253,0.9921568627450981
21,253,0.9921568627450981
22,253,0.9921568627450981
23,253,0.9921568627450981
