State,Transitions,Percentage Transitions
2,253,0.9921568627450981
5,253,0.9921568627450981
6,253,0.9921568627450981
7,253,0.9921568627450981
8,3,0.011764705882352941
9,2,0.00784313725490196
10,253,0.9921568627450981
11,3,0.011764705882352941
12,253,0.9921568627450981
13,1,0.00392156862745098
14,253,0.9921568627450981
15,1,0.00392156862745098
16,253,0.9921568627450981
17,253,0.9921568627450981
18,253,0.9921568627450981
19,253,0.9921568627450981
20,253,0.9921568627450981
21,253,0.9921568627450981
22,253,0.9921568627450981
23,253,0.9921568627450981
24,253,0.9921568627450981
25,253,0.9921568627450981
26,253,0.9921568627450981
27,253,0.9921568627450981
28,253,0.9921568627450981
29,253,0.9921568627450981
30,253,0.9921568627450981
31,253,0.9921568627450981
32,253,0.9921568627450981
33,253,0.9921568627450981
34,253,0.9921568627450981
