Fsm,totaltime,theoretical best,number of chunks,chunksize,total difference,differnece per chunk
halflife2-deathmatch.test,13.319043,9.07552,6,3072,4.2435230000000015,0.7072538333333336
halflife2-deathmatch.test,9.3121,6.8495360000000005,3,8192,2.4625639999999986,0.8208546666666662
halflife2-deathmatch.test,9.793587,7.095872,5,4096,2.6977150000000005,0.5395430000000001
halflife2-deathmatch.test,10.45743,8.14176,3,6144,2.315670000000001,0.7718900000000003
halflife2-deathmatch.test,9.975803,7.8928959999999995,2,10240,2.0829070000000014,1.0414535000000007
halflife2-deathmatch.test,13.053157,10.537792,3,9216,2.515365000000001,0.8384550000000003
halflife2-deathmatch.test,11.80104,8.621408,4,5120,3.179632,0.794908
halflife2-deathmatch.test,17.831499,2.824383999999999,112,128,15.007115000000002,0.13399209821428573
halflife2-deathmatch.test,11.101158,1.7627520000000003,30,512,9.338405999999999,0.31128019999999995
halflife2-deathmatch.test,10.437595,1.827456,58,256,8.610139,0.14845067241379312
halflife2-deathmatch.test,9.44871,7.217056,3,7168,2.231654,0.7438846666666666
halflife2-deathmatch.test,8.945502,5.22976,8,2048,3.7157419999999997,0.46446774999999996
halflife2-deathmatch.test,9.075547,2.52528,16,1024,6.550267,0.4093916875
counterstrike-source.test,14.736825,11.178047999999999,6,5120,3.558777000000001,0.5931295000000002
counterstrike-source.test,26.757237,5.032927999999992,181,128,21.72430900000001,0.1200238066298343
counterstrike-source.test,14.02514,10.065407999999998,7,4096,3.9597320000000025,0.5656760000000004
counterstrike-source.test,16.594327,13.522176000000002,4,8192,3.072150999999998,0.7680377499999995
counterstrike-source.test,16.520366,2.892127999999999,93,256,13.628238,0.1465401935483871
counterstrike-source.test,13.361367,3.06976,48,512,10.291606999999999,0.21440847916666664
counterstrike-source.test,17.798464,14.008352,5,7168,3.790111999999999,0.7580223999999998
counterstrike-source.test,14.328043,11.104639999999998,5,6144,3.223403000000001,0.6446806000000003
counterstrike-source.test,14.724532,9.49312,13,2048,5.231412000000001,0.40241630769230774
counterstrike-source.test,18.297411,6.889056,25,1024,11.408355,0.4563342
counterstrike-source.test,17.961823,15.119456000000001,3,10240,2.8423669999999976,0.9474556666666659
counterstrike-source.test,17.166888,14.153792000000001,4,9216,3.013095999999999,0.7532739999999998
counterstrike-source.test,13.946918,9.448608,9,3072,4.49831,0.4998122222222222
ntp.test,11.453858,2.045024,61,256,9.408834,0.15424318032786885
ntp.test,10.103613,7.448352,4,6144,2.6552609999999994,0.6638152499999999
ntp.test,10.25887,6.357504,9,2048,3.9013660000000003,0.43348511111111115
ntp.test,11.720023,9.653407999999999,2,10240,2.0666150000000005,1.0333075000000003
ntp.test,10.80091,7.384384000000001,4,5120,3.4165259999999993,0.8541314999999998
ntp.test,10.866281,8.567968,3,8192,2.2983130000000003,0.7661043333333334
ntp.test,10.393944,6.686656,6,3072,3.7072879999999993,0.6178813333333332
ntp.test,11.92864,2.6739200000000003,17,1024,9.254719999999999,0.544395294117647
ntp.test,10.846865,8.695136,3,9216,2.1517289999999996,0.7172429999999999
ntp.test,10.672192,7.499200000000001,5,4096,3.172992,0.6345984
ntp.test,20.621107,2.9556160000000005,120,128,17.665491,0.147212425
ntp.test,11.44848,8.731008,3,7168,2.7174720000000008,0.9058240000000003
ntp.test,10.289112,1.8848,32,512,8.404312,0.26263475
battlefield2.test,8.079258,6.114111999999999,3,6144,1.9651460000000007,0.655048666666667
battlefield2.test,8.134852,5.9685760000000005,3,5120,2.166276,0.722092
battlefield2.test,7.388317,4.39248,7,2048,2.995837,0.42797671428571427
battlefield2.test,7.951658,6.245792,2,8192,1.7058660000000003,0.8529330000000002
battlefield2.test,7.845709,1.4087359999999998,23,512,6.436973,0.2798683913043478
battlefield2.test,9.004937,7.015839999999999,2,10240,1.989097000000001,0.9945485000000005
battlefield2.test,11.013298,1.9778560000000007,85,128,9.035442,0.10629931764705883
battlefield2.test,8.010465,5.559200000000001,4,4096,2.4512649999999994,0.6128162499999998
battlefield2.test,7.101827,2.289152,12,1024,4.8126750000000005,0.40105625000000006
battlefield2.test,7.273358,4.801504000000001,5,3072,2.4718539999999987,0.4943707999999997
battlefield2.test,8.458707,1.6672639999999996,44,256,6.791443000000001,0.15435097727272729
battlefield2.test,10.842325,8.476767999999998,2,9216,2.3655570000000026,1.1827785000000013
battlefield2.test,8.517304,6.782464,2,7168,1.7348399999999993,0.8674199999999996
yahoo.test,19.444068,6.688992,30,1024,12.755076000000003,0.4251692000000001
yahoo.test,17.359581,4.558047999999999,58,512,12.801533,0.22071608620689653
yahoo.test,29.289966,22.63168,4,9216,6.658286,1.6645715
yahoo.test,29.874958,6.398048000000005,224,128,23.476909999999997,0.10480763392857141
yahoo.test,17.686508,13.037536,5,7168,4.6489720000000005,0.9297944000000001
yahoo.test,20.25842,13.87152,7,5120,6.386900000000001,0.9124142857142858
yahoo.test,19.544221,14.716896000000002,4,8192,4.827324999999998,1.2068312499999996
yahoo.test,18.073291,10.931007999999997,10,3072,7.142283000000004,0.7142283000000005
yahoo.test,19.017966,11.2784,15,2048,7.739566000000002,0.5159710666666668
yahoo.test,28.742549,4.911040000000001,114,256,23.831509,0.20904832456140351
yahoo.test,20.356547,15.804543999999996,4,10240,4.552003000000003,1.1380007500000007
yahoo.test,18.272198,11.79952,8,4096,6.472678,0.80908475
yahoo.test,18.250268,13.035712,6,6144,5.214555999999998,0.8690926666666664
h323.test,16.81349,12.527744,7,5120,4.285746000000001,0.6122494285714287
