FSM,Testcases,Cores,Total CPU
yahoo.test,2627405,32,9.951568
yahoo.test,2627405,16,14.82643
yahoo.test,2627405,8,26.269464
yahoo.test,2627405,1,151.278381
yahoo.test,2097152,32,7.888032
yahoo.test,2097152,16,11.854048
yahoo.test,2097152,8,21.039106
yahoo.test,2097152,1,120.761368
yahoo.test,1048576,32,4.255509
yahoo.test,1048576,16,6.187323
yahoo.test,1048576,8,10.127988
yahoo.test,1048576,1,60.29754
yahoo.test,524288,32,2.051383
yahoo.test,524288,16,3.075957
yahoo.test,524288,8,5.736916
yahoo.test,524288,1,29.392981
yahoo.test,262144,32,1.09204
yahoo.test,262144,16,1.535325
yahoo.test,262144,8,2.862662
yahoo.test,262144,1,14.676411
yahoo.test,131072,32,0.591208
yahoo.test,131072,16,0.917437
yahoo.test,131072,8,1.433705
yahoo.test,131072,1,7.341034
yahoo.test,65536,32,0.257784
yahoo.test,65536,16,0.559919
yahoo.test,65536,8,0.777266
yahoo.test,65536,1,4.809422
yahoo.test,32768,32,0.223912
yahoo.test,32768,16,0.317569
yahoo.test,32768,8,0.494408
yahoo.test,32768,1,2.409599
yahoo.test,16384,32,0.095054
yahoo.test,16384,16,0.183404
yahoo.test,16384,8,0.27776
yahoo.test,16384,1,1.216079
yahoo.test,8192,32,0.049936
yahoo.test,8192,16,0.10113
yahoo.test,8192,8,0.159657
yahoo.test,8192,1,0.602312
yahoo.test,4096,32,0.033105
yahoo.test,4096,16,0.054127
yahoo.test,4096,8,0.087721
yahoo.test,4096,1,0.379798
yahoo.test,2048,32,0.020114
yahoo.test,2048,16,0.03066
yahoo.test,2048,8,0.049448
yahoo.test,2048,1,0.247658
