FSM,Testcases,Cores,Total CPU
tsp.test,1162511,32,4.134264
tsp.test,1162511,16,6.151983
tsp.test,1162511,8,10.182253
tsp.test,1162511,1,50.380195
tsp.test,1048576,32,3.75733
tsp.test,1048576,16,5.507557
tsp.test,1048576,8,9.496271
tsp.test,1048576,1,45.389678
tsp.test,524288,32,1.849122
tsp.test,524288,16,2.742045
tsp.test,524288,8,5.249144
tsp.test,524288,1,22.140088
tsp.test,262144,32,1.023946
tsp.test,262144,16,1.372873
tsp.test,262144,8,2.615771
tsp.test,262144,1,11.071406
tsp.test,131072,32,0.509493
tsp.test,131072,16,0.81037
tsp.test,131072,8,1.31267
tsp.test,131072,1,5.531512
tsp.test,65536,32,0.25101
tsp.test,65536,16,0.500483
tsp.test,65536,8,0.785577
tsp.test,65536,1,3.621907
tsp.test,32768,32,0.169017
tsp.test,32768,16,0.298362
tsp.test,32768,8,0.502929
tsp.test,32768,1,1.386841
tsp.test,16384,32,0.086254
tsp.test,16384,16,0.164756
tsp.test,16384,8,0.222794
tsp.test,16384,1,0.915063
tsp.test,8192,32,0.049657
tsp.test,8192,16,0.090165
tsp.test,8192,8,0.147016
tsp.test,8192,1,0.452782
tsp.test,4096,32,0.031079
tsp.test,4096,16,0.04847
tsp.test,4096,8,0.084858
tsp.test,4096,1,0.233061
tsp.test,2048,32,0.020044
tsp.test,2048,16,0.027658
tsp.test,2048,8,0.041695
tsp.test,2048,1,0.117473
