FSM,Testcases,Cores,Total CPU,Execution GPU,Total GPU
aim.test,1344963,32,35.127315,178.782176,202.706352
aim.test,1344963,16,40.74564,178.782176,202.706352
aim.test,1344963,8,68.550289,178.782176,202.706352
aim.test,1344963,1,499.871588,178.782176,202.706352
aim.test,1048576,32,27.401943,139.78992,155.225203
aim.test,1048576,16,29.534971,139.78992,155.225203
aim.test,1048576,8,54.959074,139.78992,155.225203
aim.test,1048576,1,389.211305,139.78992,155.225203
aim.test,524288,32,13.673908,70.790176,77.971831
aim.test,524288,16,20.976669,70.790176,77.971831
aim.test,524288,8,26.501407,70.790176,77.971831
aim.test,524288,1,194.28089,70.790176,77.971831
aim.test,262144,32,7.35214,36.176416,41.270709
aim.test,262144,16,7.956407,36.176416,41.270709
aim.test,262144,8,13.305146,36.176416,41.270709
aim.test,262144,1,96.540437,36.176416,41.270709
aim.test,131072,32,3.689794,19.442464,21.380144
aim.test,131072,16,3.985293,19.442464,21.380144
aim.test,131072,8,7.876718,19.442464,21.380144
aim.test,131072,1,48.341596,19.442464,21.380144
aim.test,65536,32,1.863928,11.090112,12.246977
aim.test,65536,16,3.267602,11.090112,12.246977
aim.test,65536,8,3.950792,11.090112,12.246977
aim.test,65536,1,24.125192,11.090112,12.246977
aim.test,32768,32,0.976733,6.94528,7.689404
aim.test,32768,16,1.004529,6.94528,7.689404
aim.test,32768,8,2.14504,6.94528,7.689404
aim.test,32768,1,12.057427,6.94528,7.689404
aim.test,16384,32,0.626966,3.0632,3.626657
aim.test,16384,16,1.082123,3.0632,3.626657
aim.test,16384,8,1.112574,3.0632,3.626657
aim.test,16384,1,6.05707,3.0632,3.626657
aim.test,8192,32,0.280972,2.185664,2.536921
aim.test,8192,16,0.571512,2.185664,2.536921
aim.test,8192,8,0.520039,2.185664,2.536921
aim.test,8192,1,3.969928,2.185664,2.536921
aim.test,4096,32,0.218673,1.883744,2.174723
aim.test,4096,16,0.403125,1.883744,2.174723
aim.test,4096,8,0.349277,1.883744,2.174723
aim.test,4096,1,1.994602,1.883744,2.174723
aim.test,2048,32,0.094216,1.7624,1.914215
aim.test,2048,16,0.216648,1.7624,1.914215
aim.test,2048,8,0.238229,1.7624,1.914215
aim.test,2048,1,0.995869,1.7624,1.914215
battlefield2.test,1476796,32,63.956607,179.05584,200.111883
battlefield2.test,1476796,16,66.057718,179.05584,200.111883
battlefield2.test,1476796,8,119.73562,179.05584,200.111883
battlefield2.test,1476796,1,870.755728,179.05584,200.111883
battlefield2.test,1048576,32,45.497374,127.593152,144.107072
battlefield2.test,1048576,16,46.959993,127.593152,144.107072
battlefield2.test,1048576,8,85.299037,127.593152,144.107072
battlefield2.test,1048576,1,617.574612,127.593152,144.107072
battlefield2.test,524288,32,22.734649,64.586112,73.084885
battlefield2.test,524288,16,31.564214,64.586112,73.084885
battlefield2.test,524288,8,42.608731,64.586112,73.084885
battlefield2.test,524288,1,308.141377,64.586112,73.084885
battlefield2.test,262144,32,11.360061,33.483328,38.519165
battlefield2.test,262144,16,17.389123,33.483328,38.519165
battlefield2.test,262144,8,21.226493,33.483328,38.519165
battlefield2.test,262144,1,153.926641,33.483328,38.519165
battlefield2.test,131072,32,6.122022,18.377696,20.391189
battlefield2.test,131072,16,6.295718,18.377696,20.391189
battlefield2.test,131072,8,10.610313,18.377696,20.391189
battlefield2.test,131072,1,76.968,18.377696,20.391189
battlefield2.test,65536,32,3.068764,10.751872,11.848742
battlefield2.test,65536,16,5.636345,10.751872,11.848742
battlefield2.test,65536,8,6.270435,10.751872,11.848742
battlefield2.test,65536,1,38.47321,10.751872,11.848742
battlefield2.test,32768,32,1.553273,6.208448,6.984005
battlefield2.test,32768,16,2.637353,6.208448,6.984005
battlefield2.test,32768,8,3.15432,6.208448,6.984005
battlefield2.test,32768,1,19.239573,6.208448,6.984005
battlefield2.test,16384,32,0.782363,2.680896,3.105431
battlefield2.test,16384,16,1.533997,2.680896,3.105431
battlefield2.test,16384,8,1.581699,2.680896,3.105431
battlefield2.test,16384,1,9.606133,2.680896,3.105431
battlefield2.test,8192,32,0.404243,1.846976,2.242469
battlefield2.test,8192,16,0.574376,1.846976,2.242469
battlefield2.test,8192,8,1.015843,1.846976,2.242469
battlefield2.test,8192,1,4.804952,1.846976,2.242469
battlefield2.test,4096,32,0.300947,1.41104,1.767897
battlefield2.test,4096,16,0.554821,1.41104,1.767897
battlefield2.test,4096,8,0.491194,1.41104,1.767897
battlefield2.test,4096,1,3.120027,1.41104,1.767897
battlefield2.test,2048,32,0.140311,1.214656,1.33893
battlefield2.test,2048,16,0.197931,1.214656,1.33893
battlefield2.test,2048,8,0.317429,1.214656,1.33893
battlefield2.test,2048,1,1.553064,1.214656,1.33893
counterstrike-source.test,1472463,32,296.282367,425.221248,459.262692
counterstrike-source.test,1472463,16,297.030927,425.221248,459.262692
counterstrike-source.test,1472463,8,543.480303,425.221248,459.262692
counterstrike-source.test,1472463,1,3908.523863,425.221248,459.262692
counterstrike-source.test,1048576,32,211.115051,304.214112,336.054276
counterstrike-source.test,1048576,16,211.934781,304.214112,336.054276
counterstrike-source.test,1048576,8,387.835703,304.214112,336.054276
counterstrike-source.test,1048576,1,2781.474754,304.214112,336.054276
counterstrike-source.test,524288,32,105.667247,154.598688,167.846319
counterstrike-source.test,524288,16,106.697827,154.598688,167.846319
counterstrike-source.test,524288,8,193.651197,154.598688,167.846319
counterstrike-source.test,524288,1,1388.92995,154.598688,167.846319
counterstrike-source.test,262144,32,53.249355,78.96768,85.759082
counterstrike-source.test,262144,16,53.831692,78.96768,85.759082
counterstrike-source.test,262144,8,96.80283,78.96768,85.759082
counterstrike-source.test,262144,1,694.322813,78.96768,85.759082
counterstrike-source.test,131072,32,26.511534,42.457152,46.782875
counterstrike-source.test,131072,16,28.766016,42.457152,46.782875
counterstrike-source.test,131072,8,48.183614,42.457152,46.782875
counterstrike-source.test,131072,1,346.458557,42.457152,46.782875
counterstrike-source.test,65536,32,13.438681,24.538112,26.215197
counterstrike-source.test,65536,16,13.355711,24.538112,26.215197
counterstrike-source.test,65536,8,24.255446,24.538112,26.215197
counterstrike-source.test,65536,1,173.831523,24.538112,26.215197
counterstrike-source.test,32768,32,7.241301,15.099168,16.111165
counterstrike-source.test,32768,16,7.335937,15.099168,16.111165
counterstrike-source.test,32768,8,12.115047,15.099168,16.111165
counterstrike-source.test,32768,1,86.922502,15.099168,16.111165
counterstrike-source.test,16384,32,3.64726,6.51024,7.068514
counterstrike-source.test,16384,16,5.456782,6.51024,7.068514
counterstrike-source.test,16384,8,7.348368,6.51024,7.068514
counterstrike-source.test,16384,1,43.373006,6.51024,7.068514
counterstrike-source.test,8192,32,1.861623,4.576896,5.152344
counterstrike-source.test,8192,16,3.404631,4.576896,5.152344
counterstrike-source.test,8192,8,3.701039,4.576896,5.152344
counterstrike-source.test,8192,1,21.731586,4.576896,5.152344
counterstrike-source.test,4096,32,0.989513,4.218048,4.54144
counterstrike-source.test,4096,16,1.635198,4.218048,4.54144
counterstrike-source.test,4096,8,1.878875,4.218048,4.54144
counterstrike-source.test,4096,1,10.838484,4.218048,4.54144
counterstrike-source.test,2048,32,0.579335,4.053792,4.329192
counterstrike-source.test,2048,16,0.685494,4.053792,4.329192
counterstrike-source.test,2048,8,0.943767,4.053792,4.329192
counterstrike-source.test,2048,1,5.40042,4.053792,4.329192
dns.test,8533671,32,327.441068,1909.516544,2071.388024
dns.test,8533671,16,353.763959,1909.516544,2071.388024
dns.test,8533671,8,631.334604,1909.516544,2071.388024
dns.test,8533671,1,4511.14587,1909.516544,2071.388024
dns.test,4194304,32,160.086585,942.20848,1019.951815
dns.test,4194304,16,182.800351,942.20848,1019.951815
dns.test,4194304,8,342.878485,942.20848,1019.951815
dns.test,4194304,1,2217.989421,942.20848,1019.951815
dns.test,2097152,32,80.041722,471.990304,503.587357
dns.test,2097152,16,94.156189,471.990304,503.587357
dns.test,2097152,8,155.755507,471.990304,503.587357
dns.test,2097152,1,1112.979968,471.990304,503.587357
dns.test,1048576,32,40.145283,236.960032,253.388822
dns.test,1048576,16,42.593575,236.960032,253.388822
dns.test,1048576,8,82.53534,236.960032,253.388822
dns.test,1048576,1,555.433667,236.960032,253.388822
dns.test,524288,32,20.060909,119.408992,130.093315
dns.test,524288,16,21.480785,119.408992,130.093315
dns.test,524288,8,38.388492,119.408992,130.093315
dns.test,524288,1,276.86819,119.408992,130.093315
dns.test,262144,32,10.057169,60.90336,65.191963
dns.test,262144,16,16.643566,60.90336,65.191963
dns.test,262144,8,19.504202,60.90336,65.191963
dns.test,262144,1,138.716988,60.90336,65.191963
dns.test,131072,32,5.432128,32.521024,34.548049
dns.test,131072,16,5.861583,32.521024,34.548049
dns.test,131072,8,9.724584,32.521024,34.548049
dns.test,131072,1,69.196392,32.521024,34.548049
dns.test,65536,32,2.769493,18.179584,19.336583
dns.test,65536,16,4.850488,18.179584,19.336583
dns.test,65536,8,5.714497,18.179584,19.336583
dns.test,65536,1,34.704355,18.179584,19.336583
dns.test,32768,32,1.38342,10.66,11.305165
dns.test,32768,16,1.692398,10.66,11.305165
dns.test,32768,8,2.926426,10.66,11.305165
dns.test,32768,1,17.407213,10.66,11.305165
dns.test,16384,32,0.809812,4.713376,5.18496
dns.test,16384,16,0.877069,4.713376,5.18496
dns.test,16384,8,1.46234,4.713376,5.18496
dns.test,16384,1,8.654822,4.713376,5.18496
dns.test,8192,32,0.484769,3.187936,3.388567
dns.test,8192,16,0.688846,3.187936,3.388567
dns.test,8192,8,0.782993,3.187936,3.388567
dns.test,8192,1,5.630199,3.187936,3.388567
dns.test,4096,32,0.297176,2.554144,2.72668
dns.test,4096,16,0.478694,2.554144,2.72668
dns.test,4096,8,0.478414,2.554144,2.72668
dns.test,4096,1,2.800922,2.554144,2.72668
dns.test,2048,32,0.149251,1.962048,2.230457
