FSM,Testcases,Cores,Total CPU
halflife2-deathmatch.test,1088409,32,6.073273
halflife2-deathmatch.test,1088409,16,9.37335
halflife2-deathmatch.test,1088409,8,15.9103
halflife2-deathmatch.test,1088409,1,78.157603
halflife2-deathmatch.test,1048576,32,5.972002
halflife2-deathmatch.test,1048576,16,9.009267
halflife2-deathmatch.test,1048576,8,15.427695
halflife2-deathmatch.test,1048576,1,75.269736
halflife2-deathmatch.test,524288,32,2.832141
halflife2-deathmatch.test,524288,16,4.584672
halflife2-deathmatch.test,524288,8,8.463805
halflife2-deathmatch.test,524288,1,37.158374
halflife2-deathmatch.test,262144,32,1.425882
halflife2-deathmatch.test,262144,16,2.29024
halflife2-deathmatch.test,262144,8,4.226385
halflife2-deathmatch.test,262144,1,18.327443
halflife2-deathmatch.test,131072,32,0.741088
halflife2-deathmatch.test,131072,16,1.14952
halflife2-deathmatch.test,131072,8,2.107675
halflife2-deathmatch.test,131072,1,9.157191
halflife2-deathmatch.test,65536,32,0.443283
halflife2-deathmatch.test,65536,16,0.715386
halflife2-deathmatch.test,65536,8,1.053419
halflife2-deathmatch.test,65536,1,5.98171
halflife2-deathmatch.test,32768,32,0.305765
halflife2-deathmatch.test,32768,16,0.439512
halflife2-deathmatch.test,32768,8,0.685703
halflife2-deathmatch.test,32768,1,2.980623
halflife2-deathmatch.test,16384,32,0.100013
halflife2-deathmatch.test,16384,16,0.25108
halflife2-deathmatch.test,16384,8,0.327068
halflife2-deathmatch.test,16384,1,1.175641
halflife2-deathmatch.test,8192,32,0.062578
halflife2-deathmatch.test,8192,16,0.130324
halflife2-deathmatch.test,8192,8,0.20303
halflife2-deathmatch.test,8192,1,0.739132
halflife2-deathmatch.test,4096,32,0.037225
halflife2-deathmatch.test,4096,16,0.076477
halflife2-deathmatch.test,4096,8,0.118242
halflife2-deathmatch.test,4096,1,0.376096
halflife2-deathmatch.test,2048,32,0.027727
halflife2-deathmatch.test,2048,16,0.042254
halflife2-deathmatch.test,2048,8,0.065651
halflife2-deathmatch.test,2048,1,0.305346
