FSM,Testcases,Cores,Total CPU
hotline.test,1216433,32,8.085894
hotline.test,1216433,16,10.12233
hotline.test,1216433,8,17.392755
hotline.test,1216433,1,76.609713
hotline.test,1048576,32,6.420315
hotline.test,1048576,16,8.80547
hotline.test,1048576,8,14.67697
hotline.test,1048576,1,65.975375
hotline.test,524288,32,2.983207
hotline.test,524288,16,4.414677
hotline.test,524288,8,8.095252
hotline.test,524288,1,32.941767
hotline.test,262144,32,1.473375
hotline.test,262144,16,2.210412
hotline.test,262144,8,4.038372
hotline.test,262144,1,16.110606
hotline.test,131072,32,0.800103
hotline.test,131072,16,1.172219
hotline.test,131072,8,2.017649
hotline.test,131072,1,8.053418
hotline.test,65536,32,0.463119
hotline.test,65536,16,0.697157
hotline.test,65536,8,1.023875
hotline.test,65536,1,4.028804
hotline.test,32768,32,0.220699
hotline.test,32768,16,0.429665
hotline.test,32768,8,0.664751
hotline.test,32768,1,2.631765
hotline.test,16384,32,0.117403
hotline.test,16384,16,0.228102
hotline.test,16384,8,0.330141
hotline.test,16384,1,1.320213
hotline.test,8192,32,0.059715
hotline.test,8192,16,0.125366
hotline.test,8192,8,0.18969
hotline.test,8192,1,0.714898
hotline.test,4096,32,0.031638
hotline.test,4096,16,0.074242
hotline.test,4096,8,0.11468
hotline.test,4096,1,0.329931
hotline.test,2048,32,0.027727
hotline.test,2048,16,0.040089
hotline.test,2048,8,0.060623
hotline.test,2048,1,0.165804
